PV,Load,Import_price,Export_price
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.308,0.085
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,-0.058704325,0.085
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
0,0,0.5698,0.85
